Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH2,NO2,16/04/2020 00:00,31.3,ug m-3,P
TH2,NO2,16/04/2020 01:00,31.5,ug m-3,P
TH2,NO2,16/04/2020 02:00,29.4,ug m-3,P
TH2,NO2,16/04/2020 03:00,28,ug m-3,P
TH2,NO2,16/04/2020 04:00,28.5,ug m-3,P
TH2,NO2,16/04/2020 05:00,32.1,ug m-3,P
TH2,NO2,16/04/2020 06:00,37.9,ug m-3,P
TH2,NO2,16/04/2020 07:00,41.6,ug m-3,P
TH2,NO2,16/04/2020 08:00,46.5,ug m-3,P
TH2,NO2,16/04/2020 09:00,60.3,ug m-3,P
TH2,NO2,16/04/2020 10:00,41.7,ug m-3,P
TH2,NO2,16/04/2020 11:00,35.3,ug m-3,P
TH2,NO2,16/04/2020 12:00,32.9,ug m-3,P
TH2,NO2,16/04/2020 13:00,28.4,ug m-3,P
TH2,NO2,16/04/2020 14:00,35.6,ug m-3,P
TH2,NO2,16/04/2020 15:00,40.9,ug m-3,P
TH2,NO2,16/04/2020 16:00,42.3,ug m-3,P
TH2,NO2,16/04/2020 17:00,38.1,ug m-3,P
TH2,NO2,16/04/2020 18:00,47.6,ug m-3,P
TH2,NO2,16/04/2020 19:00,51,ug m-3,P
TH2,NO2,16/04/2020 20:00,44.3,ug m-3,P
TH2,NO2,16/04/2020 21:00,34.1,ug m-3,P
TH2,NO2,16/04/2020 22:00,31.8,ug m-3,P
TH2,NO2,16/04/2020 23:00,28.1,ug m-3,P
TH2,NO2,17/04/2020 00:00,24.4,ug m-3,P
TH2,NO2,17/04/2020 01:00,21.6,ug m-3,P
TH2,NO2,17/04/2020 02:00,15.3,ug m-3,P
TH2,NO2,17/04/2020 03:00,14.3,ug m-3,P
TH2,NO2,17/04/2020 04:00,13.4,ug m-3,P
TH2,NO2,17/04/2020 05:00,15.9,ug m-3,P
TH2,NO2,17/04/2020 06:00,17.7,ug m-3,P
TH2,NO2,17/04/2020 07:00,14.5,ug m-3,P
TH2,NO2,17/04/2020 08:00,17.7,ug m-3,P
TH2,NO2,17/04/2020 09:00,21.5,ug m-3,P
TH2,NO2,17/04/2020 10:00,18.9,ug m-3,P
TH2,NO2,17/04/2020 11:00,15.1,ug m-3,P
TH2,NO2,17/04/2020 12:00,17.5,ug m-3,P
TH2,NO2,17/04/2020 13:00,18.4,ug m-3,P
TH2,NO2,17/04/2020 14:00,16.8,ug m-3,P
TH2,NO2,17/04/2020 15:00,20.3,ug m-3,P
TH2,NO2,17/04/2020 16:00,13.4,ug m-3,P
TH2,NO2,17/04/2020 17:00,13.2,ug m-3,P
TH2,NO2,17/04/2020 18:00,18.1,ug m-3,P
TH2,NO2,17/04/2020 19:00,21.5,ug m-3,P
TH2,NO2,17/04/2020 20:00,20.7,ug m-3,P
TH2,NO2,17/04/2020 21:00,19.2,ug m-3,P
TH2,NO2,17/04/2020 22:00,16,ug m-3,P
TH2,NO2,17/04/2020 23:00,14.5,ug m-3,P
TH2,NO2,18/04/2020 00:00,10.5,ug m-3,P
TH2,NO2,18/04/2020 01:00,16.7,ug m-3,P
TH2,NO2,18/04/2020 02:00,16,ug m-3,P
