Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH2,NO2,18/04/2020 03:00,16.2,ug m-3,P
TH2,NO2,18/04/2020 04:00,16.2,ug m-3,P
TH2,NO2,18/04/2020 05:00,21.4,ug m-3,P
TH2,NO2,18/04/2020 06:00,32.2,ug m-3,P
TH2,NO2,18/04/2020 07:00,29.6,ug m-3,P
TH2,NO2,18/04/2020 08:00,25.3,ug m-3,P
TH2,NO2,18/04/2020 09:00,26.6,ug m-3,P
TH2,NO2,18/04/2020 10:00,19.6,ug m-3,P
TH2,NO2,18/04/2020 11:00,11,ug m-3,P
TH2,NO2,18/04/2020 12:00,9.5,ug m-3,P
TH2,NO2,18/04/2020 13:00,12.4,ug m-3,P
TH2,NO2,18/04/2020 14:00,20.3,ug m-3,P
TH2,NO2,18/04/2020 15:00,24.2,ug m-3,P
TH2,NO2,18/04/2020 16:00,27.2,ug m-3,P
TH2,NO2,18/04/2020 17:00,23.5,ug m-3,P
TH2,NO2,18/04/2020 18:00,24.3,ug m-3,P
TH2,NO2,18/04/2020 19:00,25.1,ug m-3,P
TH2,NO2,18/04/2020 20:00,24.9,ug m-3,P
TH2,NO2,18/04/2020 21:00,22,ug m-3,P
TH2,NO2,18/04/2020 22:00,24.1,ug m-3,P
TH2,NO2,18/04/2020 23:00,26.9,ug m-3,P
TH2,NO2,19/04/2020 00:00,23.5,ug m-3,P
TH2,NO2,19/04/2020 01:00,18.7,ug m-3,P
TH2,NO2,19/04/2020 02:00,16.6,ug m-3,P
TH2,NO2,19/04/2020 03:00,13.5,ug m-3,P
TH2,NO2,19/04/2020 04:00,12,ug m-3,P
TH2,NO2,19/04/2020 05:00,13.8,ug m-3,P
TH2,NO2,19/04/2020 06:00,14.6,ug m-3,P
TH2,NO2,19/04/2020 07:00,13.6,ug m-3,P
TH2,NO2,19/04/2020 08:00,22.9,ug m-3,P
TH2,NO2,19/04/2020 09:00,37.1,ug m-3,P
TH2,NO2,19/04/2020 10:00,19.8,ug m-3,P
TH2,NO2,19/04/2020 11:00,13.5,ug m-3,P
TH2,NO2,19/04/2020 12:00,11.8,ug m-3,P
TH2,NO2,19/04/2020 13:00,12.3,ug m-3,P
TH2,NO2,19/04/2020 14:00,11.3,ug m-3,P
TH2,NO2,19/04/2020 15:00,9.5,ug m-3,P
TH2,NO2,19/04/2020 16:00,13,ug m-3,P
TH2,NO2,19/04/2020 17:00,12.9,ug m-3,P
TH2,NO2,19/04/2020 18:00,15.1,ug m-3,P
TH2,NO2,19/04/2020 19:00,19.5,ug m-3,P
TH2,NO2,19/04/2020 20:00,14.7,ug m-3,P
TH2,NO2,19/04/2020 21:00,17.1,ug m-3,P
TH2,NO2,19/04/2020 22:00,16.3,ug m-3,P
TH2,NO2,19/04/2020 23:00,15.9,ug m-3,P
TH2,NO2,20/04/2020 00:00,16.3,ug m-3,P
TH2,NO2,20/04/2020 01:00,11.3,ug m-3,P
TH2,NO2,20/04/2020 02:00,9.9,ug m-3,P
TH2,NO2,20/04/2020 03:00,8.8,ug m-3,P
TH2,NO2,20/04/2020 04:00,12.3,ug m-3,P
TH2,NO2,20/04/2020 05:00,16.4,ug m-3,P
TH2,NO2,20/04/2020 06:00,19.2,ug m-3,P
TH2,NO2,20/04/2020 07:00,21.1,ug m-3,P
TH2,NO2,20/04/2020 08:00,27.4,ug m-3,P
TH2,NO2,20/04/2020 09:00,16.5,ug m-3,P
TH2,NO2,20/04/2020 10:00,12.9,ug m-3,P
TH2,NO2,20/04/2020 11:00,17.2,ug m-3,P
TH2,NO2,20/04/2020 12:00,14.6,ug m-3,P
TH2,NO2,20/04/2020 13:00,13.6,ug m-3,P
TH2,NO2,20/04/2020 14:00,12,ug m-3,P
TH2,NO2,20/04/2020 15:00,15.4,ug m-3,P
TH2,NO2,20/04/2020 16:00,16.6,ug m-3,P
TH2,NO2,20/04/2020 17:00,16.4,ug m-3,P
TH2,NO2,20/04/2020 18:00,21.3,ug m-3,P
TH2,NO2,20/04/2020 19:00,23.9,ug m-3,P
TH2,NO2,20/04/2020 20:00,22.3,ug m-3,P
TH2,NO2,20/04/2020 21:00,20.4,ug m-3,P
TH2,NO2,20/04/2020 22:00,19.1,ug m-3,P
TH2,NO2,20/04/2020 23:00,15.9,ug m-3,P
TH2,NO2,21/04/2020 00:00,15.4,ug m-3,P
TH2,NO2,21/04/2020 01:00,15.3,ug m-3,P
TH2,NO2,21/04/2020 02:00,16.4,ug m-3,P
TH2,NO2,21/04/2020 03:00,14.7,ug m-3,P
TH2,NO2,21/04/2020 04:00,17.4,ug m-3,P
TH2,NO2,21/04/2020 05:00,23.1,ug m-3,P
TH2,NO2,21/04/2020 06:00,26.6,ug m-3,P
TH2,NO2,21/04/2020 07:00,25.4,ug m-3,P
TH2,NO2,21/04/2020 08:00,17.8,ug m-3,P
TH2,NO2,21/04/2020 09:00,15.6,ug m-3,P
TH2,NO2,21/04/2020 10:00,15.8,ug m-3,P
TH2,NO2,21/04/2020 11:00,14.9,ug m-3,P
TH2,NO2,21/04/2020 12:00,14.2,ug m-3,P
TH2,NO2,21/04/2020 13:00,12.8,ug m-3,P
TH2,NO2,21/04/2020 14:00,16.7,ug m-3,P
TH2,NO2,21/04/2020 15:00,19.9,ug m-3,P
TH2,NO2,21/04/2020 16:00,16.8,ug m-3,P
TH2,NO2,21/04/2020 17:00,22.7,ug m-3,P
TH2,NO2,21/04/2020 18:00,25.3,ug m-3,P
TH2,NO2,21/04/2020 19:00,22.7,ug m-3,P
TH2,NO2,21/04/2020 20:00,20.7,ug m-3,P
TH2,NO2,21/04/2020 21:00,18.6,ug m-3,P
TH2,NO2,21/04/2020 22:00,17.3,ug m-3,P
TH2,NO2,21/04/2020 23:00,13.8,ug m-3,P
TH2,NO2,22/04/2020 00:00,11.4,ug m-3,P
TH2,NO2,22/04/2020 01:00,11.8,ug m-3,P
TH2,NO2,22/04/2020 02:00,11.7,ug m-3,P
TH2,NO2,22/04/2020 03:00,12.6,ug m-3,P
TH2,NO2,22/04/2020 04:00,16.3,ug m-3,P
TH2,NO2,22/04/2020 05:00,25.3,ug m-3,P
TH2,NO2,22/04/2020 06:00,32.7,ug m-3,P
TH2,NO2,22/04/2020 07:00,34.9,ug m-3,P
TH2,NO2,22/04/2020 08:00,36.8,ug m-3,P
TH2,NO2,22/04/2020 09:00,27.4,ug m-3,P
TH2,NO2,22/04/2020 10:00,23.2,ug m-3,P
TH2,NO2,22/04/2020 11:00,20.9,ug m-3,P
TH2,NO2,22/04/2020 12:00,18.9,ug m-3,P
TH2,NO2,22/04/2020 13:00,16.7,ug m-3,P
TH2,NO2,22/04/2020 14:00,17.1,ug m-3,P
TH2,NO2,22/04/2020 15:00,17.6,ug m-3,P
TH2,NO2,22/04/2020 16:00,18.8,ug m-3,P
TH2,NO2,22/04/2020 17:00,26.6,ug m-3,P
TH2,NO2,22/04/2020 18:00,30.8,ug m-3,P
TH2,NO2,22/04/2020 19:00,35.7,ug m-3,P
TH2,NO2,22/04/2020 20:00,29.2,ug m-3,P
TH2,NO2,22/04/2020 21:00,27.5,ug m-3,P
TH2,NO2,22/04/2020 22:00,22.7,ug m-3,P
TH2,NO2,22/04/2020 23:00,19.5,ug m-3,P
